species,family,movement_keyword,r_fin,kfin,geog_range,order,class,length,demers_pelag,diet_troph3,iucn_category,homerange,common_name,genus
Buccinum undatum,Buccinidae,sedentary,0.57,266954.7536,1320000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Opisthonema oglinum,Clupeidae,habitat_coastal,1.026959074,38353.45049,2765000,Clupeiformes,Actinopteri,38,reef-associated,4.5,LC,NA,Atlantic thread herring,Opisthonema
Sardinella aurita,Clupeidae,habitat_coastal,0.674292593,414149.4049,5502500,Clupeiformes,Actinopteri,41,pelagic-neritic,3.4,LC,NA,Round sardinella,Sardinella
Trachurus symmetricus,Carangidae,pelagic,0.238376295,97859.78073,12545000,Carangiformes,Actinopteri,81,pelagic-oceanic,3.57,LC,NA,Pacific jack mackerel,Trachurus
Sparidentex hasta,Sparidae,habitat_reef,0.508792111,712.9355819,755000,Eupercaria/misc,Actinopteri,58,demersal,NA,LC,NA,Sobaity seabream,Sparidentex
Alosa pseudoharengus,Clupeidae,habitat_coastal,1.842742708,24511.5196,887500,Clupeiformes,Actinopteri,40,pelagic-neritic,3.39,LC,NA,Alewife,Alosa
Micromesistius poutassou,Gadidae,migratory,0.264956898,11051770.13,11370000,Gadiformes,Actinopteri,55.5,bathypelagic,4.13,NA,NA,Blue whiting,Micromesistius
Alosa sapidissima,Clupeidae,pelagic,1.012650669,4287.867606,690000,Clupeiformes,Actinopteri,76,pelagic-neritic,3.48,LC,NA,American shad,Alosa
Scomberomorus maculatus,Scombridae,hms,0.552706116,69510.07242,832500,Scombriformes,Actinopteri,91,pelagic-neritic,4.53,LC,NA,Atlantic Spanish mackerel,Scomberomorus
Auxis thazard,Scombridae,pelagic,0.704484871,1188784.853,24452500,Scombriformes,Actinopteri,65,pelagic-neritic,4.37,NA,NA,Frigate tuna,Auxis
Scomberomorus cavalla,Scombridae,hms,0.422976077,117279.9657,2745000,Scombriformes,Actinopteri,184,pelagic-neritic,4.42,LC,NA,King mackerel,Scomberomorus
Trachinus draco,Trachinidae,habitat_benthic,0.630179269,3639.605607,2867500,Perciformes/Percoidei,Actinopteri,53,demersal,7.22E-04,LC,NA,Greater weever,Trachinus
Penaeus monodon,Penaeidae,habitat_benthic,1.19,383488.9311,10907500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oblada melanura,Sparidae,habitat_reef,0.430882512,6862.353238,1805000,Eupercaria/misc,Actinopteri,36.59999847,benthopelagic,5.84E-04,LC,NA,Saddled seabream,Oblada
Boops boops,Sparidae,pelagic,0.47071232,289938.8997,2757500,Eupercaria/misc,Actinopteri,40,demersal,2.79,LC,NA,Bogue,Boops
Crassostrea virginica,Ostreidae,sedentary,0.57,1163823.621,3487500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Epinephelus areolatus,Serranidae,habitat_coastal,0.322549477,5778.412723,12137500,Perciformes/Serranoidei,Actinopteri,47,reef-associated,3.74,LC,NA,Areolate grouper,Epinephelus
Coregonus lavaretus,Salmonidae,habitat_coastal,0.390523349,18551.55656,1395000,Salmoniformes,Actinopteri,73,demersal,3.13,VU,NA,European whitefish,Coregonus
Scomber japonicus,Scombridae,hms,0.39773042,15778539.37,6372500,Scombriformes,Actinopteri,64,pelagic-neritic,3.38,LC,NA,Chub mackerel,Scomber
Cynoscion nebulosus,Sciaenidae,habitat_coastal,0.436633792,23214.89583,557500,Eupercaria/misc,Actinopteri,100,demersal,6.87E-04,LC,NA,Spotted weakfish,Cynoscion
Lethrinus obsoletus,Lethrinidae,habitat_reef,0.456931205,988.3063252,8592500,Eupercaria/misc,Actinopteri,60,reef-associated,3.89,LC,NA,Orange-striped emperor,Lethrinus
Ctenolabrus rupestris,Labridae,habitat_reef,0.491971324,2070.185701,1272500,Eupercaria/misc,Actinopteri,18,reef-associated,3.58,LC,NA,Goldsinny-wrasse,Ctenolabrus
Katsuwonus pelamis,Scombridae,pelagic,0.504382583,22018245.45,251292500,Scombriformes,Actinopteri,110,pelagic-oceanic,4.43,LC,NA,Skipjack tuna,Katsuwonus
Hoplopagrus guentherii,Lutjanidae,habitat_reef,0.502875077,273.0618526,632500,Eupercaria/misc,Actinopteri,92,reef-associated,3.8,LC,NA,Mexican barred snapper,Hoplopagrus
Sciaenops ocellatus,Sciaenidae,habitat_benthic,0.347234648,55.28250163,987500,Eupercaria/misc,Actinopteri,155,demersal,6.46E-04,LC,NA,Red drum,Sciaenops
Haemulon plumierii,Haemulidae,habitat_reef,0.578655171,431.5592646,2540000,Eupercaria/misc,Actinopteri,53,reef-associated,3.82,LC,NA,White grunt,Haemulon
Lutjanus argentiventris,Lutjanidae,habitat_reef,0.312507548,14303.98733,712500,Eupercaria/misc,Actinopteri,71,reef-associated,6.98E-04,LC,NA,Yellow snapper,Lutjanus
Lutjanus synagris,Lutjanidae,habitat_reef,0.66052967,28340.63155,3455000,Eupercaria/misc,Actinopteri,60,reef-associated,3.82,NT,NA,Lane snapper,Lutjanus
Dactylopterus volitans,Dactylopteridae,habitat_coastal,0.6387551,6.205821294,5692500,Dactylopteriformes,Actinopteri,50,reef-associated,3.65,LC,NA,Flying gurnard,Dactylopterus
Euthynnus alletteratus,Scombridae,hms,0.330255295,115033.1049,5647500,Scombriformes,Actinopteri,122,pelagic-oceanic,4.49,LC,NA,Little tunny,Euthynnus
Thunnus maccoyii,Scombridae,hms,0.101845095,1356848.854,81205000,Scombriformes,Actinopteri,245,pelagic-oceanic,6.79E-04,CR,NA,Southern bluefin tuna,Thunnus
Cromileptes altivelis,Serranidae,habitat_reef,0.151702421,191382.417,7332500,Perciformes/Serranoidei,Actinopteri,70,reef-associated,7.77E-04,DD,NA,Humpback grouper,Cromileptes
Lutjanus guttatus,Lutjanidae,habitat_reef,0.369622858,983.5538908,542500,Eupercaria/misc,Actinopteri,80,reef-associated,4.04,LC,NA,Spotted rose snapper,Lutjanus
Pecten jacobaeus,Pectinidae,sedentary,0.43,93.70232558,1357500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Epinephelus marginatus,Serranidae,territorial,0.110074674,43372.70186,2530000,Perciformes/Serranoidei,Actinopteri,150,reef-associated,4.43,VU,0.005312,Dusky grouper,Epinephelus
Plectropomus leopardus,Serranidae,habitat_reef,0.262136996,148319.6519,8795000,Perciformes/Serranoidei,Actinopteri,120,reef-associated,4.42,LC,0.0104584,Leopard coralgrouper,Plectropomus
Plectropomus leopardus,Serranidae,habitat_reef,0.262136996,148319.6519,8795000,Perciformes/Serranoidei,Actinopteri,120,reef-associated,4.42,LC,0.0187969,Leopard coralgrouper,Plectropomus
Pecten maximus,Pectinidae,sedentary,0.57,150688.9544,1395000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lachnolaimus maximus,Labridae,habitat_reef,0.503220372,1005.587269,1942500,Eupercaria/misc,Actinopteri,91,reef-associated,4.17,VU,0.00123027,Hogfish,Lachnolaimus
Lutjanus buccanella,Lutjanidae,habitat_coastal,0.522081563,59.15550784,2275000,Eupercaria/misc,Actinopteri,75,reef-associated,6.74E-04,DD,NA,Blackfin snapper,Lutjanus
Loxechinus albus,Parechinidae,sedentary,0.57,617373.0596,1527500,NA,NA,NA,NA,NA,NA,NA,NA,NA
